name,value,year,lastValue,rank,year2
Vindkraft,100,50,170,5,200702
Gasturbin & dieselkraft,31,50,10,6,200702
Vattenkraft,6458,51,4986,1,200703
Kärnkraft,6183,51,4502,2,200703
Övrig värmekraft,621,51,764,3,200703
Ospecificerad produktion,534,51,2441,4,200703
Vindkraft,115,51,100,5,200703
Gasturbin & dieselkraft,8,51,31,6,200703
Kärnkraft,6253,52,6183,1,200704
Vattenkraft,5602,52,6458,2,200704
Ospecificerad produktion,495,52,534,3,200704
Övrig värmekraft,470,52,621,4,200704
Vindkraft,106,52,115,5,200704
Gasturbin & dieselkraft,3,52,8,6,200704
Kärnkraft,5764,53,6253,1,200705
Vattenkraft,5554,53,5602,2,200705
Ospecificerad produktion,396,53,495,3,200705
Övrig värmekraft,351,53,470,4,200705
Vindkraft,81,53,106,5,200705
Gasturbin & dieselkraft,2,53,3,6,200705
Vattenkraft,4976,54,5554,1,200706
Kärnkraft,4181,54,5764,2,200706
Ospecificerad produktion,312,54,396,3,200706
Övrig värmekraft,173,54,351,4,200706
Vindkraft,60,54,81,5,200706
Gasturbin & dieselkraft,7,54,2,6,200706
Kärnkraft,4712,55,4181,1,200707
Vattenkraft,4162,55,4976,2,200707
Ospecificerad produktion,253,55,312,3,200707
Övrig värmekraft,112,55,173,4,200707
Vindkraft,93,55,60,5,200707
Gasturbin & dieselkraft,1,55,7,6,200707
Vattenkraft,4568,56,4162,1,200708
Kärnkraft,4214,56,4712,2,200708
Ospecificerad produktion,200,56,253,3,200708
Övrig värmekraft,134,56,112,4,200708
Vindkraft,85,56,93,5,200708
Gasturbin & dieselkraft,3,56,1,6,200708
Kärnkraft,4272,57,4214,1,200709
Vattenkraft,3866,57,4568,2,200709
Övrig värmekraft,238,57,134,3,200709
Ospecificerad produktion,180,57,200,4,200709
Vindkraft,125,57,85,5,200709
Gasturbin & dieselkraft,2,57,3,6,200709
Kärnkraft,5719,58,4272,1,200710
Vattenkraft,4255,58,3866,2,200710
Övrig värmekraft,548,58,238,3,200710
Ospecificerad produktion,183,58,180,4,200710
Vindkraft,89,58,125,5,200710
Gasturbin & dieselkraft,5,58,2,6,200710
Kärnkraft,5888,59,5719,1,200711
Vattenkraft,4903,59,4255,2,200711
Övrig värmekraft,859,59,548,3,200711
Ospecificerad produktion,167,59,183,4,200711
Vindkraft,145,59,89,5,200711
Gasturbin & dieselkraft,97,59,5,6,200711
Kärnkraft,6385,60,5888,1,200712
Vattenkraft,5339,60,4903,2,200712
Övrig värmekraft,973,60,859,3,200712
Ospecificerad produktion,200,60,167,4,200712
Vindkraft,164,60,145,5,200712
Gasturbin & dieselkraft,80,60,97,6,200712
Vattenkraft,7095,61,5339,1,200801
Kärnkraft,6601,61,6385,2,200801
Övrig värmekraft,968,61,973,3,200801
Vindkraft,260,61,164,4,200801
Ospecificerad produktion,192,61,200,5,200801
Gasturbin & dieselkraft,6,61,80,6,200801
Vattenkraft,6783,62,7095,1,200802
Kärnkraft,5849,62,6601,2,200802
Övrig värmekraft,865,62,968,3,200802
Vindkraft,217,62,260,4,200802
Ospecificerad produktion,181,62,192,5,200802
Gasturbin & dieselkraft,3,62,6,6,200802
Vattenkraft,6737,63,6783,1,200803
Kärnkraft,6556,63,5849,2,200803
Övrig värmekraft,869,63,865,3,200803
Vindkraft,188,63,217,4,200803
Ospecificerad produktion,159,63,181,5,200803
Gasturbin & dieselkraft,3,63,3,6,200803
Kärnkraft,6451,64,6556,1,200804
Vattenkraft,5945,64,6737,2,200804
Övrig värmekraft,598,64,869,3,200804
Vindkraft,88,64,188,4,200804
Ospecificerad produktion,19,64,159,5,200804
Gasturbin & dieselkraft,2,64,3,6,200804
Vattenkraft,6530,65,5945,1,200805
Kärnkraft,5074,65,6451,2,200805
Övrig värmekraft,379,65,598,3,200805
Vindkraft,61,65,88,4,200805
Ospecificerad produktion,19,65,19,5,200805
Gasturbin & dieselkraft,2,65,2,6,200805
Vattenkraft,5399,66,6530,1,200806
Kärnkraft,3660,66,5074,2,200806
Övrig värmekraft,210,66,379,3,200806
Vindkraft,123,66,61,4,200806
Ospecificerad produktion,21,66,19,5,200806
Gasturbin & dieselkraft,2,66,2,6,200806
Kärnkraft,4752,67,3660,1,200807
Vattenkraft,4167,67,5399,2,200807
Övrig värmekraft,128,67,210,3,200807
Vindkraft,82,67,123,4,200807
Ospecificerad produktion,21,67,21,5,200807
Gasturbin & dieselkraft,2,67,2,6,200807
Kärnkraft,4422,68,4752,1,200808
Vattenkraft,4188,68,4167,2,200808
Vindkraft,139,68,82,3,200808
Övrig värmekraft,138,68,128,4,200808
Ospecificerad produktion,21,68,21,5,200808
Gasturbin & dieselkraft,2,68,2,6,200808
Kärnkraft,4983,69,4422,1,200809
Vattenkraft,4573,69,4188,2,200809
Övrig värmekraft,416,69,138,3,200809
Vindkraft,120,69,139,4,200809
Ospecificerad produktion,18,69,21,5,200809
Gasturbin & dieselkraft,2,69,2,6,200809
Vattenkraft,5340,70,4573,1,200810
Kärnkraft,4719,70,4983,2,200810
